한국어 단어,English Word,汉语单词,汉语拼音,Image
버터,butter,黄油,huángyóu,
멸치,anchovy,鳀鱼，海蜒,tíyú，hǎiyán,
소금물,salted water,盐水,yánshuǐ,
송아지,calf,牛犊，小牛,niúdú，xiǎoniú,
쪽 (음식),slice; piece,块儿,kuài'ér,
정육점,meat shop; butcher shop,精肉店,jīngròudiàn,
식히다,cool,冷却，凉,lěngquè，liáng,
게,crab,螃蟹，蟹,pángxiè，xiè,
죽,juk,粥,zhōu,
아침밥,breakfast,早饭，早餐,zǎofàn，zǎocān,
김 (공기),steam,热气，蒸气,rèqì，zhēngqì,
회,hoe,生鱼片，生切肉片，生拌,shēngyúpiàn，shēngqièròupiàn，shēngbàn,
나이프,penknife,折刀,zhédāo,
식용유,cooking oil,食用油,shíyòngyóu,
소스,sauce,酱汁，调味汁,jiàngzhī，tiáowèizhī,
식기,dishes; tableware,餐具,cānjù,
냉동,freezing,冷冻,lěngdòng,
입맛,taste bud; appetite,口味，胃口，食欲,kǒuwèi，wèikǒu，shíyù,
상하다,be hurt; be injured,受伤，伤,shòushāng，shāng,
배고프다,hungry,肚子饿,dùzi'è,
식욕,appetite,食欲,shíyù,
고소하다,nutty flavor,香，香喷喷,xiāng，xiāngpēnpēn,
비우다,empty,清空,qīngkōng,
빨다 (음식),suck; puff on (e.g. a person eating a popsicle or a vacuum cleaner sucking a floor),吸，吮吸,xī，shǔnxī,
담백하다,innocent; pure,坦率，率真，坦白,tǎnshuài，shuàizhēn，tǎnbái,
밥맛,the taste of rice,饭味,fànwèi,
삼키다,swallow,咽，吞下,yàn，tūnxià,
미지근하다,lukewarm; tepid; warmish,温乎乎，温热,wēnhūhū，wēnrè,
덜다,reduce,拿出，盛出,náchū，shèngchū,
양,quantity; amount,量,liàng,
얻어먹다,beg food; beg one's bread,讨饭吃,tǎofànchī,
말다,put in water; put in soup,泡,pào,
구수하다,earthy-smelling; earthy-tasting,香喷喷,xiāngpēnpēn,
달콤하다,sweet; luscious,香甜,xiāngtián,
몫,share; portion,份，份额,fèn，fèn'é,
단맛,sweetness; sweet taste,甜味,tiánwèi,
나물,wild vegetables; wild greens,素菜,sùcài,
느끼하다,oily; greasy; fatty,油腻，甜腻,yóunì，tiánnì,
끼,meal,顿，餐,dùn，cān,
매운맛,being spicy; being hot,辣味,làwèi,
꿀,honey,蜂蜜,fēngmì,
씨 (식물),seed,种子，籽,zhǒngzi，zǐ,
쓴맛,bitter taste,苦味,kǔwèi,
쇠고기,beef,牛肉,niúròu,
뷔페,buffet,自助餐,zìzhùcān,
레몬,lemon,柠檬,níngméng,
식량,food (in the sense of sustenance),粮食，食粮,liángshí，shíliáng,
음식물,food and drink,食物,shíwù,
음주,drinking alcoholic beverages,饮酒,yǐnjiǔ,
